time_s,segment_range,active_range_carla,active_range_model,setpoint_carla_mps,setpoint_model_mps,speed_carla_mps,speed_model_mps,throttle_carla,throttle_model,brake_carla,brake_model,u_carla,u_model
1.4900,low,low,low,0.0000,0.0000,0.0003,4.4853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5000,low,low,low,0.0000,0.0000,0.0003,4.4678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5100,low,low,low,0.0000,0.0000,0.0003,4.4504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5200,low,low,low,0.0000,0.0000,0.0002,4.4331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5300,low,low,low,0.0000,0.0000,0.0002,4.4158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5400,low,low,low,0.0000,0.0000,0.0002,4.3985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5500,low,low,low,0.0000,0.0000,0.0002,4.3813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5600,low,low,low,0.0000,0.0000,0.0002,4.3642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5700,low,low,low,0.0000,0.0000,0.0002,4.3471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5800,low,low,low,0.0000,0.0000,0.0001,4.3301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.5900,low,low,low,0.0000,0.0000,0.0001,4.3131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.6000,low,low,low,0.0000,0.0000,0.0001,4.2962,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.6100,low,low,low,0.0000,0.0000,0.0001,4.2793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.6200,low,low,low,0.0000,0.0000,0.0001,4.2625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.6300,low,low,low,0.0000,0.0000,0.0001,4.2458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.6400,low,low,low,0.0000,0.0000,0.0001,4.2291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.6500,low,low,low,0.0000,0.0000,0.0001,4.2124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.6600,low,low,low,0.0000,0.0000,0.0000,4.1959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.6700,low,low,low,0.0000,0.0000,0.0000,4.1793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.6800,low,low,low,0.0000,0.0000,0.0000,4.1628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.6900,low,low,low,0.0000,0.0000,0.0000,4.1464,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.7000,low,low,low,0.0000,0.0000,0.0000,4.1300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.7100,low,low,low,0.0000,0.0000,0.0000,4.1137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.7200,low,low,low,0.0000,0.0000,0.0000,4.0974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.7300,low,low,low,0.0000,0.0000,0.0000,4.0812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.7400,low,low,low,0.0000,0.0000,0.0000,4.0651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.7500,low,low,low,0.0000,0.0000,0.0000,4.0489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.7600,low,low,low,0.0000,0.0000,0.0000,4.0329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.7700,low,low,low,0.0000,0.0000,0.0000,4.0169,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.7800,low,low,low,0.0000,0.0000,0.0000,4.0009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.7900,low,low,low,0.0000,0.0000,0.0000,3.9850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.8000,low,low,low,0.0000,0.0000,0.0000,3.9691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.8100,low,low,low,0.0000,0.0000,0.0000,3.9533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.8200,low,low,low,0.0000,0.0000,0.0000,3.9376,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.8300,low,low,low,0.0000,0.0000,0.0000,3.9219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.8400,low,low,low,0.0000,0.0000,0.0000,3.9062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.8500,low,low,low,0.0000,0.0000,0.0000,3.8906,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.8600,low,low,low,0.0000,0.0000,0.0000,3.8751,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.8700,low,low,low,0.0000,0.0000,0.0000,3.8596,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.8800,low,low,low,0.0000,0.0000,0.0000,3.8441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.8900,low,low,low,0.0000,0.0000,0.0000,3.8287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.9000,low,low,low,0.0000,0.0000,0.0000,3.8134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.9100,low,low,low,0.0000,0.0000,0.0000,3.7980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.9200,low,low,low,0.0000,0.0000,0.0000,3.7828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.9300,low,low,low,0.0000,0.0000,0.0000,3.7676,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.9400,low,low,low,0.0000,0.0000,0.0000,3.7524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.9500,low,low,low,0.0000,0.0000,0.0000,3.7373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.9600,low,low,low,0.0000,0.0000,0.0000,3.7223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.9700,low,low,low,0.0000,0.0000,0.0000,3.7073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.9800,low,low,low,0.0000,0.0000,0.0000,3.6923,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.9900,low,low,low,0.0000,0.0000,0.0000,3.6774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0000,low,low,low,0.0000,0.0000,0.0000,3.6625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0100,low,low,low,0.0000,0.0000,0.0000,3.6477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0200,low,low,low,0.0000,0.0000,0.0000,3.6329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0300,low,low,low,0.0000,0.0000,0.0000,3.6182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0400,low,low,low,0.0000,0.0000,0.0000,3.6035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0500,low,low,low,0.0000,0.0000,0.0000,3.5889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0600,low,low,low,0.0000,0.0000,0.0000,3.5743,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
